0.0,-3120719.5442,4086453.02192,3761373.61176
0.1,-3120719.63408,4086452.96707,3761373.59688
0.2,-3120719.69112,4086452.99251,3761373.52241
0.3,-3120719.62079,4086453.29461,3761373.25436
0.4,-3120719.5618,4086453.46386,3761373.12033
0.5,-3120719.28842,4086453.67263,3761373.12033
0.6,-3120718.48104,4086454.19261,3761373.22458
0.7,-3120717.90856,4086454.478,3761373.38839
0.8,-3120717.20816,4086454.91628,3761373.49263
0.9,-3120716.38178,4086455.31278,3761373.74579
1.0,-3120715.58678,4086455.6025,3761374.08831
1.1,-3120714.74001,4086455.84897,3761374.52017
1.2,-3120713.83991,4086456.02577,3761375.07116
1.3,-3120712.91467,4086456.19417,3761375.65194
1.4,-3120711.96274,4086456.67274,3761375.92
1.5,-3120711.39218,4086457.45346,3761375.5477
1.6,-3120710.97183,4086458.38163,3761374.89246
1.7,-3120710.63227,4086459.31712,3761374.16276
1.8,-3120710.22384,4086460.23621,3761373.50753
1.9,-3120709.83153,4086461.22579,3761372.76293
2.0,-3120709.46016,4086462.14416,3761372.07791
2.1,-3120709.08213,4086463.05383,3761371.40778
2.2,-3120708.89622,4086463.96858,3761370.57384
2.3,-3120708.94992,4086464.85213,3761369.57609
2.4,-3120708.89236,4086465.73785,3761368.66769
2.5,-3120709.00456,4086466.67332,3761367.5657
2.6,-3120708.92318,4086467.57724,3761366.6573
2.7,-3120708.79858,4086468.59696,3761365.65954
2.8,-3120708.73864,4086469.5535,3761364.67669
2.9,-3120708.77812,4086470.51691,3761363.60448
3.0,-3120708.76806,4086471.36635,3761362.69608
3.1,-3120708.88552,4086472.28402,3761361.60898
3.2,-3120709.08376,4086473.20898,3761360.44741
3.3,-3120709.24872,4086474.09037,3761359.36031
3.4,-3120709.46265,4086474.96195,3761358.24342
3.5,-3120709.74931,4086475.80559,3761357.09676
3.6,-3120710.00556,4086476.65866,3761355.96497
3.7,-3120710.18999,4086477.44237,3761354.96723
3.8,-3120710.26989,4086478.23692,3761354.04393
3.9,-3120710.45572,4086479.04717,3761353.01639
4.0,-3120710.79092,4086479.75713,3761351.97397
4.1,-3120711.19458,4086480.35964,3761350.99111
4.2,-3120711.60349,4086480.94433,3761350.02313
4.3,-3120711.95151,4086481.54792,3761349.08495
4.4,-3120712.23339,4086482.18821,3761348.16166
4.5,-3120712.67509,4086482.69267,3761347.25325
4.6,-3120713.1125,4086483.11759,3761346.43421
4.7,-3120713.64549,4086483.59373,3761345.48113
4.8,-3120714.03393,4086484.02845,3761344.69186
4.9,-3120714.25452,4086484.90875,3761343.56008
5.0,-3120714.72004,4086485.39501,3761342.65167
5.1,-3120715.23823,4086485.82724,3761341.75816
5.2,-3120715.79552,4086486.06403,3761341.04335
5.3,-3120716.40887,4086486.4236,3761340.14984
5.4,-3120717.05689,4086486.85327,3761339.15209
5.5,-3120717.65454,4086487.26622,3761338.2139
5.6,-3120718.4476,4086487.51616,3761337.2906
5.7,-3120719.23735,4086487.58921,3761336.56091
5.8,-3120720.06942,4086487.64376,3761335.81631
5.9,-3120720.94956,4086487.78578,3761334.93769
6.0,-3120721.88714,4086487.73215,3761334.22288
6.1,-3120722.77106,4086487.82989,3761333.38894
6.2,-3120723.73338,4086488.00575,3761332.40608
6.3,-3120724.55264,4086488.16667,3761331.55724
6.4,-3120725.53591,4086488.27134,3761330.63394
6.5,-3120726.40028,4086488.4668,3761329.71064
6.6,-3120727.26563,4086488.56492,3761328.89159
6.7,-3120728.26081,4086488.66049,3761327.96829
6.8,-3120729.25024,4086488.65005,3761327.16413
6.9,-3120730.18412,4086488.64065,3761326.40465
7.0,-3120731.18308,4086488.69193,3761325.52603
7.1,-3120732.10644,4086488.71815,3761324.73675
7.2,-3120733.04024,4086488.7088,3761323.97726
7.3,-3120733.95029,4086488.71758,3761323.21778
7.4,-3120734.85369,4086488.71765,3761322.47319
7.5,-3120735.76374,4086488.72644,3761321.7137
7.6,-3120736.66853,4086488.75304,3761320.93932
7.7,-3120737.55483,4086488.77996,3761320.17983
7.8,-3120738.49291,4086488.85013,3761319.33099
7.9,-3120739.43484,4086488.87597,3761318.52683
8.0,-3120740.39386,4086488.87495,3761317.73756
8.1,-3120741.2735,4086488.89315,3761316.99297
8.2,-3120742.17305,4086488.93757,3761316.20369
8.3,-3120743.16773,4086488.90931,3761315.41442
8.4,-3120744.07925,4086488.94457,3761314.62516
8.5,-3120745.00164,4086489.06812,3761313.73164
8.6,-3120745.92928,4086489.17387,3761312.85301
8.7,-3120746.82651,4086489.28903,3761311.98929
8.8,-3120747.71849,4086489.42201,3761311.11066
8.9,-3120748.60381,4086489.54627,3761310.24693
9.0,-3120749.45725,4086489.65348,3761309.42787
9.1,-3120750.35539,4086489.67136,3761308.66839
9.2,-3120751.27875,4086489.69757,3761307.87912
9.3,-3120752.21115,4086489.66169,3761307.14941
9.4,-3120753.12267,4086489.69694,3761306.36014
9.5,-3120754.08548,4086489.65163,3761305.61554
9.6,-3120755.08157,4086489.6499,3761304.79649
9.7,-3120756.10288,4086489.65651,3761303.94765
9.8,-3120757.03955,4086489.70016,3761303.12859
9.9,-3120757.89825,4086489.78955,3761302.32442
10.0,-3120758.72794,4086489.9149,3761301.50536
10.1,-3120759.59189,4086489.98648,3761300.71609
10.2,-3120760.54713,4086490.02974,3761299.88215
10.3,-3120761.55275,4086490.08972,3761298.98863
10.4,-3120762.54358,4086490.10581,3761298.15468
10.5,-3120763.4446,4086490.17668,3761297.33563
10.6,-3120764.24388,4086490.31145,3761296.53146
10.7,-3120765.04169,4086490.41974,3761295.75708
10.8,-3120765.88189,4086490.50945,3761294.96781
10.9,-3120766.76294,4086490.55418,3761294.19342
11.0,-3120767.66108,4086490.57205,3761293.43393
11.1,-3120768.55403,4086490.60768,3761292.65955
11.2,-3120769.46408,4086490.61646,3761291.90006
11.3,-3120770.38745,4086490.64266,3761291.11079
11.4,-3120771.22757,4086490.73243,3761290.32152
11.5,-3120772.06105,4086490.81349,3761289.54713
11.6,-3120772.925,4086490.88506,3761288.75786
11.7,-3120773.84738,4086491.00861,3761287.86434
11.8,-3120774.79499,4086491.1405,3761286.94103
11.9,-3120775.67513,4086491.28251,3761286.06241
12.0,-3120776.5072,4086491.33703,3761285.31781
12.1,-3120777.37346,4086491.33785,3761284.603
12.2,-3120778.27832,4086491.36438,3761283.82861
12.3,-3120779.19643,4086491.4084,3761283.02445
12.4,-3120780.15833,4086491.46037,3761282.1756
12.5,-3120781.10685,4086491.49496,3761281.35654
12.6,-3120782.04499,4086491.56507,3761280.5077
12.7,-3120782.98832,4086491.61742,3761279.67375
12.8,-3120783.94497,4086491.68721,3761278.81001
12.9,-3120784.88164,4086491.73084,3761277.99096
13.0,-3120785.776,4086491.79299,3761277.18679
13.1,-3120786.64653,4086491.87334,3761276.38263
13.2,-3120787.53571,4086491.95325,3761275.56356
13.3,-3120788.42768,4086492.08621,3761274.68494
13.4,-3120789.2854,4086492.27294,3761273.77652
13.5,-3120790.2026,4086492.41424,3761272.86811
13.6,-3120791.10452,4086492.38782,3761272.15329
13.7,-3120792.02361,4086492.33449,3761271.45337
13.8,-3120792.9703,4086492.21868,3761270.79813
13.9,-3120793.92217,4086492.08512,3761270.15777
14.0,-3120794.94306,4086491.96784,3761269.44295
14.1,-3120796.02904,4086491.91125,3761268.609
14.2,-3120797.07886,4086491.75808,3761267.90907
14.3,-3120798.14962,4086491.53371,3761267.26872
14.4,-3120799.23083,4086491.27378,3761266.65814
14.5,-3120800.22985,4086490.98001,3761266.15182
14.6,-3120801.28304,4086490.65869,3761265.63059
